
pl_name,pl_orbsmax,pl_rade,st_rad,sy_dist
HAT-P-22 b,0.041400,12.890,1.11,81.7647000
HAT-P-23 b,0.023200,15.334,1.20,364.8130000
HAT-P-24 b,0.046510,14.572,1.38,415.3440000
HAT-P-25 b,0.046600,12.722,0.92,300.3840000
HAT-P-26 b,0.047900,7.062,0.87,141.8370000
HAT-P-27 b,0.040000,11.430,0.86,199.1730000
HAT-P-28 b,0.043400,13.585,1.10,401.3190000
HAT-P-29 b,0.066700,13.115,1.30,313.5760000
HAT-P-3 b,0.038660,10.536,0.87,134.5540000
HAT-P-30 b,0.041900,16.141,1.31,213.9850000
HAT-P-31 b,0.061000,12.218,1.39,344.0500000
HAT-P-32 b,0.033970,22.194,1.37,289.2050000
HAT-P-33 b,0.049950,20.737,1.79,396.1100000
HAT-P-34 b,0.067740,13.417,1.53,249.3250000
HAT-P-35 b,0.049780,14.930,1.44,506.9650000
HAT-P-36 b,0.024100,14.314,1.04,294.4190000
HAT-P-37 b,0.037900,13.204,0.88,390.5940000
HAT-P-38 b,0.052300,9.247,0.92,255.2060000
HAT-P-39 b,0.050900,17.609,1.62,697.0040000
HAT-P-4 b,0.044380,14.280,1.62,320.4510000
HAT-P-40 b,0.060800,17.038,1.94,464.4690000
HAT-P-41 b,0.042580,22.978,2.05,348.1850000
HAT-P-42 b,0.057500,14.348,1.53,405.2380000
HAT-P-43 b,0.044400,13.630,1.08,528.8250000
HAT-P-44 b,0.050700,13.922,0.95,347.8500000
HAT-P-44 c,1.752000,13.000,0.95,347.8500000
HAT-P-45 b,0.045200,15.984,1.32,298.6400000
HAT-P-46 b,0.057700,14.392,1.40,290.7360000
HAT-P-49 b,0.043780,17.822,2.06,350.3510000
HAT-P-5 b,0.040730,13.563,1.12,303.3360000
HAT-P-50 b,0.045300,14.437,1.70,515.4580000
HAT-P-51 b,0.050420,13.507,0.99,440.0890000
HAT-P-52 b,0.036940,11.310,0.89,361.1550000
HAT-P-53 b,0.031590,14.773,1.21,666.8020000
HAT-P-54 b,0.041170,10.581,0.62,143.6510000
HAT-P-55 b,0.046280,14.841,1.10,511.3880000
HAT-P-56 b,0.042300,16.926,1.47,320.6390000
HAT-P-57 b,0.040600,19.504,1.85,279.8600000
HAT-P-58 b,0.049940,14.930,1.53,515.5900000
HAT-P-59 b,0.050640,12.588,1.10,265.4710000
HAT-P-6 b,0.052390,16.589,1.62,275.3580000
HAT-P-60 b,0.062770,18.282,2.20,233.2200000
HAT-P-61 b,0.030100,10.077,0.94,338.8400000
HAT-P-62 b,0.037720,12.027,1.17,348.8150000
HAT-P-63 b,0.042940,12.543,0.97,403.4580000
HAT-P-64 b,0.053870,19.089,1.74,651.8970000
HAT-P-65 b,0.040420,18.058,1.67,738.5190000
HAT-P-66 b,0.043630,17.822,1.88,935.4560000
HAT-P-67 b,0.065050,23.371,2.55,371.6860000
HAT-P-68 b,0.029960,12.016,0.67,202.1520000
HAT-P-69 b,0.065550,18.786,1.93,341.2630000
HAT-P-7 b,0.036760,16.926,2.00,341.0790000
HAT-P-70 b,0.047390,20.961,1.86,330.7390000
HAT-P-8 b,0.044960,15.693,1.57,211.5530000
HAT-P-9 b,0.052870,15.614,1.34,455.2030000
HATS-1 b,0.044400,14.594,1.04,283.9710000
HATS-10 b,0.044910,10.862,1.10,534.8890000
HATS-11 b,0.050700,18.030,1.54,944.6030000
HATS-12 b,0.044100,7.760,1.17,746.1380000
HATS-13 b,0.040570,13.585,0.89,421.8550000
HATS-14 b,0.038150,11.646,0.93,513.0110000
HATS-15 b,0.027120,12.386,0.92,1139.5500000
HATS-16 b,0.037440,14.572,1.24,757.0440000
HATS-17 b,0.130800,8.709,1.09,400.3310000
HATS-18 b,0.017400,14.897,1.02,624.3680000
HATS-2 b,0.023170,12.576,0.88,341.9250000
HATS-22 b,0.050250,10.682,0.69,229.5180000
HATS-23 b,0.033970,20.849,1.20,639.0040000
HATS-24 b,0.023800,15.637,1.12,494.1820000
HATS-25 b,0.051630,14.123,1.11,471.1580000
HATS-26 b,0.047350,19.616,2.04,861.8430000
HATS-27 b,0.061100,16.814,1.74,816.9880000
HATS-28 b,0.041310,13.384,0.92,535.3830000
HATS-29 b,0.054750,14.022,1.07,353.8910000
HATS-3 b,0.048500,15.480,1.40,411.2110000
HATS-30 b,0.043540,13.171,1.06,342.1400000
HATS-31 b,0.047800,18.383,1.87,773.9740000
HATS-32 b,0.040240,14.000,1.10,745.1160000
HATS-33 b,0.037270,13.787,1.02,248.4600000
HATS-34 b,0.031660,16.029,0.98,508.8420000
HATS-35 b,0.031990,16.410,1.43,514.5550000
HATS-36 b,0.052300,12.920,1.10,856.4360000
HATS-37 A b,0.049130,6.793,0.88,211.8960000
HATS-38 b,0.050360,6.882,1.10,343.5250000
HATS-39 b,0.060070,17.598,1.62,878.5210000
HATS-4 b,0.036200,11.433,0.93,416.4590000
HATS-40 b,0.049970,17.710,2.26,1342.2900000
HATS-41 b,0.058300,14.908,1.71,737.6680000
HATS-42 b,0.036890,15.693,1.48,800.3770000
HATS-43 b,0.049440,13.227,0.81,362.2730000
HATS-44 b,0.036490,11.960,0.85,446.0350000
HATS-45 b,0.055110,14.415,1.32,772.1100000
HATS-46 b,0.053670,10.122,0.85,453.8080000
HATS-47 b,0.042690,12.520,0.66,300.6700000
HATS-48 A b,0.037690,8.967,0.72,263.6090000
HATS-49 b,0.045150,8.575,0.70,324.4130000
HATS-5 b,0.054200,10.223,0.87,246.3840000
HATS-50 b,0.050460,12.666,1.12,756.7420000
HATS-51 b,0.046390,15.805,1.44,389.5700000
HATS-52 b,0.024980,15.491,1.05,555.1340000
HATS-53 b,0.047530,15.020,1.10,585.7700000
HATS-54 b,0.037000,11.377,1.23,748.5850000
HATS-55 b,0.054120,14.022,1.13,609.8380000
HATS-56 b,0.060430,18.921,2.20,564.4090000
HATS-57 b,0.034930,12.767,0.96,279.4850000
HATS-58 A b,0.057980,12.274,1.43,403.5910000
HATS-59 b,0.061120,12.621,1.04,642.8840000
HATS-59 c,2.504000,12.300,1.04,642.8840000
HATS-6 b,0.036230,11.187,0.57,169.3180000
HATS-60 b,0.047080,12.924,1.46,486.4740000
HATS-61 b,0.079080,13.395,1.66,679.7610000
HATS-62 b,0.041630,11.825,0.93,523.0670000
HATS-63 b,0.040260,13.529,1.07,623.2320000
HATS-64 b,0.065620,18.820,2.11,1080.1500000
HATS-65 b,0.044970,16.825,1.31,493.3200000
HATS-66 b,0.047140,15.816,1.84,1477.9800000
HATS-67 b,0.030320,18.887,1.44,960.1090000
HATS-68 b,0.050710,13.809,1.75,603.9550000
HATS-69 b,0.032110,10.593,0.88,414.5370000
HATS-7 b,0.040120,6.311,0.82,240.7070000
HATS-70 b,0.036320,15.513,1.88,1458.8300000
HATS-71 b,0.037450,11.478,0.48,140.2250000
HATS-72 b,0.066517,8.097,0.72,127.5890000
HATS-74 A b,0.023840,11.568,0.58,299.3890000
HATS-75 b,0.032742,9.909,0.58,194.9640000
HATS-76 b,0.026580,12.094,0.63,385.6890000
HATS-77 b,0.036070,13.058,0.64,436.1760000
HATS-8 b,0.046670,9.785,1.09,794.6370000
HATS-9 b,0.031200,13.850,1.56,638.7000000
HD 100546 b,53.000000,77.342,1.85,109.6770000
HD 100655 b,0.680000,13.500,10.06,137.1780000
HD 100777 b,1.060000,13.700,1.04,49.5336000
HD 10180 c,0.064120,3.680,1.11,38.9607000
HD 10180 d,0.128590,3.450,1.11,38.9607000
HD 10180 e,0.269900,5.390,1.11,38.9607000
HD 10180 f,0.492900,5.240,1.11,38.9607000
HD 10180 g,1.427000,4.910,1.11,38.9607000
HD 10180 h,3.381000,9.400,1.11,38.9607000
HD 101930 b,0.300000,10.600,0.86,30.0274000
HD 102117 b,0.150000,8.470,1.23,39.5792000
HD 102195 b,0.050000,14.200,0.82,29.3386000
HD 102272 b,0.510000,12.900,10.30,347.0970000
HD 102329 b,1.810000,12.600,9.82,217.1070000
HD 102329 c,,13.500,6.30,217.1070000
HD 102365 b,0.460000,4.140,0.95,9.2894000
HD 102843 b,4.074000,13.100,0.96,62.7580000
HD 102956 b,0.080700,13.800,4.55,121.8900000
HD 103197 b,0.250000,5.830,0.88,57.1463000
HD 103720 b,0.049800,14.100,0.73,45.5352000
